ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,OutletSize,LocationType,OutletType,OutletSales
NCX54,9.195,Низкокалорийный,0.048157338,Товары для дома,106.1622,OUT045,2002,,Локация 2,Супермаркет Тип1,2117.244
DRK35,8.365,Низкокалорийный,0.071958197,Крепкие напитки,38.0506,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,796.9626
FDY21,15.1,Низкокалорийный,0.173481304,Закуски,194.511,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,4910.275
FDI26,,Низкокалорийный,0.061082177,Консервы,180.0344,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,892.172
FDM20,10,Низкокалорийный,0,Фрукты и овощи,246.9144,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,3185.1872
FDV27,7.97,Средняя калорийность,0.040071131,Мясо,87.3514,OUT045,2002,,Локация 2,Супермаркет Тип1,1062.6168
FDF09,,Низкокалорийный,0.012090074,Фрукты и овощи,38.2848,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,484.7024
FDY40,,Средняя калорийность,0.15028599,Замороженные продукты,51.0692,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,147.8076
FDY45,,Низкокалорийный,0.026015519,Закуски,255.8356,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,2543.356
FDC46,17.7,Низкокалорийный,0.195068226,Закуски,185.4266,OUT010,1998,,Локация 3,Продуктовый магазин,184.4266
FDH19,19.35,Низкокалорийный,0.033082215,Мясо,172.5738,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,4865.6664
FDZ03,13.65,Средняя калорийность,0.078946455,Молочные продукты,186.024,OUT045,2002,,Локация 2,Супермаркет Тип1,1118.544
DRH37,17.6,Низкокалорийный,0.041700756,Безалкогольные напитки,164.8526,OUT045,2002,,Локация 2,Супермаркет Тип1,2302.3364
NCI17,8.645,Низкокалорийный,0.143422643,Здоровье и гигиена,95.841,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,2027.361
FDJ58,15.6,Средняя калорийность,0.105296072,Закуски,170.1764,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,3435.528
FDL12,15.85,Средняя калорийность,0.121531501,Выпечка,59.222,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,599.22
FDH35,18.25,Низкокалорийный,0,Бакалея,164.7526,OUT045,2002,,Локация 2,Супермаркет Тип1,4604.6728
FDG02,7.855,Низкокалорийный,0.011324862,Консервы,189.6188,OUT017,2007,,Локация 2,Супермаркет Тип1,2285.0256
NCZ18,7.825,Низкокалорийный,0.186357148,Товары для дома,254.3698,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,5580.7356
FDC29,8.39,Средняя калорийность,0.024205661,Замороженные продукты,114.0176,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,2290.352
FDQ10,12.85,Низкокалорийный,0.033230816,Закуски,172.3422,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,1207.0954
FDN48,,Низкокалорийный,0.113720344,Выпечка,89.9804,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,643.1628
FDL04,19,Низкокалорийный,0.112556507,Замороженные продукты,104.9622,OUT017,2007,,Локация 2,Супермаркет Тип1,1587.933
FDV25,5.905,Низкокалорийный,0,Консервы,222.5456,OUT045,2002,,Локация 2,Супермаркет Тип1,5305.0944
FDD58,7.76,Низкокалорийный,0.059352241,Закуски,101.87,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,1697.79
FDN04,11.8,Средняя калорийность,0.014087057,Замороженные продукты,180.3344,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,1427.4752
FDV45,16.75,Низкокалорийный,0.045230944,Закуски,187.9556,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,4693.89
NCL18,,Низкокалорийный,0.293417759,Товары для дома,194.6136,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,583.2408
FDR12,,Средняя калорийность,0.031382044,Выпечка,171.3764,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,3091.9752
FDG20,15.5,Средняя калорийность,0.12639886,Фрукты и овощи,177.0028,OUT017,2007,,Локация 2,Супермаркет Тип1,2479.4392
FDZ55,6.055,Низкокалорийный,0.025403898,Фрукты и овощи,160.992,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,2716.464
FDQ49,,Средняя калорийность,0.039057677,Завтрак,155.963,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,3285.723
FDN33,6.305,Средняя калорийность,0.123115764,Закуски,95.6436,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,661.8052
FDN27,20.85,Низкокалорийный,0.039624006,Мясо,117.2808,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,1523.3504
FDW20,20.75,Низкокалорийный,0.040421193,Фрукты и овощи,122.173,OUT010,1998,,Локация 3,Продуктовый магазин,369.519
DRG27,8.895,Низкокалорийный,0.105274111,Молочные продукты,39.9138,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,690.4346
DRI25,19.6,Низкокалорийный,0.033970195,Безалкогольные напитки,55.1614,OUT045,2002,,Локация 2,Супермаркет Тип1,1381.535
FDA44,19.7,Низкокалорийный,0.053212652,Фрукты и овощи,57.893,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,622.523
NCR17,9.8,Низкокалорийный,0.024378706,Здоровье и гигиена,114.5492,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,1274.3412
FDU04,,Низкокалорийный,0.009714595,Замороженные продукты,120.0414,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,487.3656
FDF41,12.15,Низкокалорийный,0.131383762,Замороженные продукты,246.046,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,1231.73
FDB56,8.75,Средняя калорийность,0.07461309,Фрукты и овощи,187.4556,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,3755.112
NCP18,,Низкокалорийный,0.028459761,Товары для дома,149.9708,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,4363.6532
FDB56,8.75,Средняя калорийность,0.074627201,Фрукты и овощи,187.8556,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,1314.2892
FDT28,13.3,Низкокалорийный,0.063695084,Замороженные продукты,151.0708,OUT045,2002,,Локация 2,Супермаркет Тип1,1805.6496
FDD10,,Средняя калорийность,0.045797829,Закуски,178.5344,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,2854.9504
FDW57,8.31,Средняя калорийность,0.115857223,Закуски,179.1028,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,3896.2616
DRB48,16.75,Средняя калорийность,0.024832806,Безалкогольные напитки,38.7822,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,667.7974
FDP09,19.75,Низкокалорийный,0.034027909,Закуски,212.0902,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,3185.853
FDH14,17.1,Средняя калорийность,0.0467696,Консервы,141.1838,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,2247.7408
FDA47,10.5,Средняя калорийность,0.116576702,Выпечка,163.121,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,1794.331
FDG12,6.635,Средняя калорийность,0,Выпечка,121.3098,OUT045,2002,,Локация 2,Супермаркет Тип1,2530.7058
DRE60,,Низкокалорийный,0.278974075,Безалкогольные напитки,225.372,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,679.116
DRK49,14.15,Низкокалорийный,0.035913805,Безалкогольные напитки,41.4138,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,812.276
FDD03,13.3,Низкокалорийный,0.079806266,Молочные продукты,232.53,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,699.09
FDS52,8.89,Низкокалорийный,0.005505481,Замороженные продукты,102.4016,OUT017,2007,,Локация 2,Супермаркет Тип1,2732.4432
FDW39,,Средняя калорийность,0.064625342,Мясо,176.937,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,176.437
FDX34,,Низкокалорийный,0.071636937,Закуски,121.7098,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,4097.3332
FDV11,9.1,Средняя калорийность,0,Хлеб,173.2054,OUT045,2002,,Локация 2,Супермаркет Тип1,3151.8972
FDD17,7.5,Низкокалорийный,0.032677678,Замороженные продукты,239.0906,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,5942.265
FDZ16,16.85,Средняя калорийность,0.160760054,Замороженные продукты,192.4478,OUT017,2007,,Локация 2,Супермаркет Тип1,4843.695
FDZ46,7.485,Низкокалорийный,0.06911065,Закуски,109.0228,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,2542.0244
DRA12,11.6,Низкокалорийный,0.041177505,Безалкогольные напитки,140.3154,OUT017,2007,,Локация 2,Супермаркет Тип1,2552.6772
FDY58,11.65,Низкокалорийный,0.040081193,Закуски,227.0694,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,1141.847
NCF19,13,Низкокалорийный,0.035307322,Товары для дома,47.5034,OUT017,2007,,Локация 2,Супермаркет Тип1,680.4476
DRJ13,12.65,Низкокалорийный,0.063017847,Безалкогольные напитки,159.0578,OUT045,2002,,Локация 2,Супермаркет Тип1,2085.9514
FDB14,20.25,Средняя калорийность,0.171938781,Консервы,92.512,OUT010,1998,,Локация 3,Продуктовый магазин,186.424
FDJ38,8.6,Средняя калорийность,0.040197932,Консервы,190.153,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,3036.048
FDW11,12.6,Низкокалорийный,0.049058014,Хлеб,62.7194,OUT017,2007,,Локация 2,Супермаркет Тип1,866.8716
FDL40,17.7,Низкокалорийный,0.01161096,Замороженные продукты,95.041,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,868.869
DRI49,14.15,Низкокалорийный,0.183507295,Безалкогольные напитки,82.4276,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,1137.1864
FDV38,19.25,Низкокалорийный,0.102349519,Молочные продукты,52.7956,OUT017,2007,,Локация 2,Супермаркет Тип1,928.1252
DRG23,8.88,Низкокалорийный,0.086708987,Крепкие напитки,151.7682,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,762.341
NCP30,20.5,Низкокалорийный,0.032835147,Товары для дома,40.2822,OUT045,2002,,Локация 2,Супермаркет Тип1,707.0796
FDY25,,Низкокалорийный,0.033809913,Консервы,180.5976,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,7968.2944
NCH54,13.5,Низкокалорийный,0.07266912,Товары для дома,160.292,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,1438.128
NCR53,,Низкокалорийный,0.144338493,Здоровье и гигиена,224.4404,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,6976.2524
FDS52,8.89,Низкокалорийный,0.009163216,Замороженные продукты,101.7016,OUT010,1998,,Локация 3,Продуктовый магазин,101.2016
FDG02,7.855,Низкокалорийный,0.011307038,Консервы,188.5188,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,952.094
NCO26,7.235,Низкокалорийный,0.076855628,Товары для дома,116.0492,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,1969.4364
FDH35,,Низкокалорийный,0.059956876,Бакалея,165.4526,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,5262.4832
FDB51,6.92,Низкокалорийный,0.038532062,Молочные продукты,60.5852,OUT045,2002,,Локация 2,Супермаркет Тип1,1314.2892
FDX44,9.3,Низкокалорийный,0.043209581,Фрукты и овощи,90.8172,OUT017,2007,,Локация 2,Супермаркет Тип1,535.3032
NCN07,18.5,Низкокалорийный,0.056816465,Другое,132.1284,OUT010,1998,,Локация 3,Продуктовый магазин,263.6568
NCC31,8.02,Низкокалорийный,0.019866705,Товары для дома,154.5972,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,1402.1748
NCX54,9.195,Низкокалорийный,0.048331717,Товары для дома,105.1622,OUT017,2007,,Локация 2,Супермаркет Тип1,1693.7952
NCO55,12.8,Низкокалорийный,0.091221855,Другое,105.5938,OUT045,2002,,Локация 2,Супермаркет Тип1,2143.876
NCC30,16.6,Низкокалорийный,0.027622076,Товары для дома,177.6344,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,2676.516
FDI16,14,Средняя калорийность,0,Замороженные продукты,53.064,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,905.488
FDP16,18.6,Низкокалорийный,0.039355947,Замороженные продукты,246.3802,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,7370.406
FDB11,16,Низкокалорийный,0.060836524,Бакалея,226.8404,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,6301.1312
NCB06,17.6,Низкокалорийный,0.082316506,Здоровье и гигиена,160.692,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,1597.92
FDA45,21.25,Низкокалорийный,0.155350299,Закуски,178.237,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,529.311
NCO26,7.235,Низкокалорийный,0.076841095,Товары для дома,117.5492,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,1969.4364
DRJ25,14.6,Низкокалорийный,0.151419185,Безалкогольные напитки,50.3692,OUT017,2007,,Локация 2,Супермаркет Тип1,1034.6532
FDR28,13.85,Средняя калорийность,0.026001976,Замороженные продукты,161.521,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,1794.331
FDI04,13.65,Средняя калорийность,0.073209447,Замороженные продукты,197.6426,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,2768.3964
DRK12,,Низкокалорийный,0.041683481,Безалкогольные напитки,31.29,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,898.83
FDX20,7.365,Низкокалорийный,0.042560252,Фрукты и овощи,226.172,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,3169.208
NCI18,18.35,Низкокалорийный,0.014081156,Товары для дома,223.5746,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,3589.9936
FDB36,5.465,Средняя калорийность,0,Выпечка,132.5626,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,262.3252
FDN13,18.6,Низкокалорийный,0.152918384,Завтрак,99.8358,OUT017,2007,,Локация 2,Супермаркет Тип1,1910.1802
DRD24,13.85,Низкокалорийный,0.030969274,Безалкогольные напитки,140.9154,OUT017,2007,,Локация 2,Супермаркет Тип1,1701.7848
FDQ28,14,Средняя калорийность,0.060376776,Замороженные продукты,154.5656,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,2471.4496
FDM22,14,Средняя калорийность,0.04192285,Закуски,54.764,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,1331.6
FDR07,,Низкокалорийный,0.077367431,Фрукты и овощи,97.0094,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,1808.9786
FDV25,5.905,Низкокалорийный,0.045838211,Консервы,222.5456,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,3315.684
DRF49,7.27,Низкокалорийный,0.071077939,Безалкогольные напитки,114.2518,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,2618.5914
FDW51,6.155,Средняя калорийность,0.094659871,Мясо,214.556,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,2769.728
DRL01,19.5,Средняя калорийность,0.077608838,Безалкогольные напитки,233.4958,OUT017,2007,,Локация 2,Супермаркет Тип1,5375.0034
FDP25,15.2,Низкокалорийный,0.021327477,Консервы,216.8824,OUT017,2007,,Локация 2,Супермаркет Тип1,2838.9712
FDL50,12.15,Средняя калорийность,0.042485444,Консервы,125.0046,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,1743.0644
NCB30,,Низкокалорийный,0.025578526,Товары для дома,198.8084,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,5555.4352
FDW11,12.6,Низкокалорийный,0.0489808,Хлеб,61.9194,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,619.194
NCM43,14.5,Низкокалорийный,0.019471688,Другое,164.821,OUT035,2004,Маленький,Локация 2,Супермаркет Тип1,2120.573
FDK44,16.6,Низкокалорийный,0.122918852,Фрукты и овощи,173.0738,OUT017,2007,,Локация 2,Супермаркет Тип1,3823.0236
FDM15,11.8,Средняя калорийность,0.057373797,Мясо,151.4366,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,1360.2294
FDS31,13.1,Средняя калорийность,0.044155597,Фрукты и овощи,178.8318,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,3969.4996
FDI32,17.7,Низкокалорийный,0.291865402,Фрукты и овощи,115.1834,OUT010,1998,,Локация 3,Продуктовый магазин,345.5502
FDR47,17.85,Низкокалорийный,0,Хлеб,196.5794,OUT010,1998,,Локация 3,Продуктовый магазин,585.2382
FDB35,12.3,Средняя калорийность,0.064750025,Бакалея,92.6804,OUT045,2002,,Локация 2,Супермаркет Тип1,1010.6844
NCU05,11.8,Низкокалорийный,0.098312421,Здоровье и гигиена,81.4618,OUT010,1998,,Локация 3,Продуктовый магазин,161.1236
DRY23,,Средняя калорийность,0.191013663,Безалкогольные напитки,42.1112,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,42.6112
FDO24,11.1,Низкокалорийный,0.176573035,Выпечка,157.4604,OUT045,2002,,Локация 2,Супермаркет Тип1,3010.7476
FDQ28,,Средняя калорийность,0.060134441,Замороженные продукты,153.0656,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,6024.1584
FDV39,11.3,Низкокалорийный,0.007294652,Мясо,198.1426,OUT045,2002,,Локация 2,Супермаркет Тип1,988.713
NCO17,,Низкокалорийный,0.128478462,Здоровье и гигиена,117.944,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,239.688
FDU50,5.75,Средняя калорийность,0.075107656,Молочные продукты,112.8176,OUT013,1987,Большой,Локация 3,Супермаркет Тип1,1374.2112
FDT12,,Средняя калорийность,0.049381406,Выпечка,226.8062,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,4739.8302
FDK58,11.35,Средняя калорийность,0.045165796,Закуски,100.0016,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,1012.016
FDO08,,Средняя калорийность,0.09415375,Фрукты и овощи,165.7526,OUT019,1985,Маленький,Локация 1,Продуктовый магазин,657.8104
NCW29,14,Низкокалорийный,0.028907832,Здоровье и гигиена,130.431,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,778.986
FDE04,19.75,Средняя калорийность,0.018059621,Замороженные продукты,179.766,OUT045,2002,,Локация 2,Супермаркет Тип1,2336.958
NCB19,6.525,Низкокалорийный,0.090436094,Товары для дома,85.0882,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,2233.0932
FDV15,10.3,Низкокалорийный,0.146399712,Мясо,103.9648,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,1661.8368
FDL58,5.78,Средняя калорийность,0.074264356,Закуски,264.7568,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,4745.8224
FDA08,11.85,Средняя калорийность,0.050186726,Фрукты и овощи,164.1526,OUT045,2002,,Локация 2,Супермаркет Тип1,3124.5994
FDT43,16.35,Низкокалорийный,0.020631654,Фрукты и овощи,50.1324,OUT018,2009,Средний,Локация 3,Супермаркет Тип 2,467.3916
NCX06,,Низкокалорийный,0.01561108,Товары для дома,182.5976,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,5070.7328
FDT20,10.5,Низкокалорийный,0.041395445,Фрукты и овощи,37.6164,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,540.6296
FDB41,19,Средняя калорийность,0.097313129,Замороженные продукты,48.0718,OUT046,1997,Маленький,Локация 1,Супермаркет Тип1,992.7078
NCN55,14.6,Низкокалорийный,0.059582996,Другое,238.8538,OUT049,1999,Средний,Локация 1,Супермаркет Тип1,6008.845
FDE40,,Средняя калорийность,0.098663652,Молочные продукты,62.9194,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,2105.2596
FDX49,,Средняя калорийность,0.101338651,Консервы,232.63,OUT027,1985,Средний,Локация 3,Супермаркет Тип 3,5359.69
